"","stockid","stocklong","assessid","assessor_id","assess_method","country","region","area","family","species","comm_name","rec_age_yr"
"117","SHCROCKPCOAST","Sharpchin rockfish Pacific Coast","NWFSC-SHCROCKPCOAST-1892-2012-SISIMP2016","NWFSC","SS3","USA","US West Coast","Pacific Coast","Sebastidae","Sebastes zacentrus","Sharpchin rockfish",NA
"118","SNOWCRABBS","Snow crab Bering Sea","AFSC-SNOWCRABBS-1979-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Bering Sea","Oregoniidae","Chionoecetes opilio","Snow crab",NA
"119","SNROCKPCOAST","Splitnose rockfish Pacific Coast","NWFSC-SNROCKPCOAST-1905-2009-STANTON","NWFSC","SS3","USA","US West Coast","Pacific Coast","Sebastidae","Sebastes diploproa","Splitnose rockfish",0
"120","SPSDOGPCOAST","Spotted spiny dogfish Pacific Coast","NWFSC-SPSDOGPCOAST-1916-2011-STACHURA","NWFSC","SS3","USA","US West Coast","Pacific Coast","Squalidae","Squalus suckleyi","Spotted spiny dogfish",0
"121","SRAKEROCKBSAI","Shortraker rockfish Bering Sea and Aleutian Islands","AFSC-SRAKEROCKBSAI-2004-2014-SISIMP2016","AFSC","Unknown","USA","US Alaska","Bering Sea and Aleutian Islands","Sebastidae","Sebastes borealis","Shortraker rockfish",NA
"122","SRAKEROCKGA","Shortraker rockfish Gulf of Alaska","AFSC-SRAKEROCKGA-1993-2014-SISIMP2016","AFSC","Unknown","USA","US Alaska","Gulf of Alaska","Sebastidae","Sebastes borealis","Shortraker rockfish",NA
"123","SSHRIMPSMAGTSE","Sidestripe shrimp Shrimp Management Area GTSE","DFO-SSHRIMPSMAGTSE-1992-2011-WATSON","DFO","SURBA","Canada","Canada West Coast","Shrimp Management Area GTSE","Pandalidae","Pandalopsis dispar","Sidestripe shrimp",NA
"124","SSHRIMPSMAPRD","Sidestripe shrimp Shrimp Management Area PRD","DFO-SSHRIMPSMAPRD-1987-2011-WATSON","DFO","SURBA","Canada","Canada West Coast","Shrimp Management Area PRD","Pandalidae","Pandalopsis dispar","Sidestripe shrimp",NA
"125","SSSHRIMPSMA14","Sidestripe shrimp Shrimp Management Area 14","DFO-SSSHRIMPSMA14-1987-2011-WATSON","DFO","SURBA","Canada","Canada West Coast","Shrimp Management Area 14","Pandalidae","Pandalopsis dispar","Sidestripe shrimp",NA
"126","SSSHRIMPSMA16","Sidestripe shrimp Shrimp Management Area 16","DFO-SSSHRIMPSMA16-1987-2011-WATSON","DFO","SURBA","Canada","Canada West Coast","Shrimp Management Area 16","Pandalidae","Pandalopsis dispar","Sidestripe shrimp",NA
"127","SSSHRIMPSMA18-19","Sidestripe shrimp Shrimp Management Areas 18 and 19","DFO-SSSHRIMPSMA18-19-1987-2011-WATSON","DFO","SURBA","Canada","Canada West Coast","Shrimp Management Areas 18 and 19","Pandalidae","Pandalopsis dispar","Sidestripe shrimp",NA
"128","SSSHRIMPSMAFR","Sidestripe shrimp Shrimp Management Area FR","DFO-SSSHRIMPSMAFR-1987-2011-WATSON","DFO","SURBA","Canada","Canada West Coast","Shrimp Management Area FR","Pandalidae","Pandalopsis dispar","Sidestripe shrimp",NA
"129","SSTHORNHGA","Shortspine thornyhead Gulf of Alaska","AFSC-SSTHORNHGA-1980-2014-SISIMP2016","AFSC","Unknown","USA","US Alaska","Gulf of Alaska","Sebastidae","Sebastolobus alascanus","Shortspine thornyhead",NA
"130","SSTHORNHPCOAST","Shortspine thornyhead Pacific Coast","NWFSC-SSTHORNHPCOAST-1901-2013-SISIMP2016","NWFSC","SS3","USA","US West Coast","Pacific Coast","Sebastidae","Sebastolobus alascanus","Shortspine thornyhead",0.5
"131","STFLOUNNPCOAST","Starry flounder Northern Pacific Coast","SWFSC-STFLOUNNPCOAST-1970-2005-STANTON","SWFSC","SS2","USA","US West Coast","Northern Pacific Coast","Pleuronectidae","Platichthys stellatus","Starry flounder",0
"132","STFLOUNSPCOAST","Starry flounder Southern Pacific Coast","SWFSC-STFLOUNSPCOAST-1970-2005-STANTON","SWFSC","SS2","USA","US West Coast","Southern Pacific Coast","Pleuronectidae","Platichthys stellatus","Starry flounder",0
"133","TANNERCRABBSAI","Tanner crab Bering Sea and Aleutian Islands","AFSC-TANNERCRABBSAI-1965-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Bering Sea and Aleutian Islands","Oregoniidae","Chionoecetes bairdi","Tanner crab",NA
"134","WPOLLAI","Walleye pollock Aleutian Islands","AFSC-WPOLLAI-1978-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Aleutian Islands","Gadidae","Gadus chalcogrammus","Walleye pollock",0
"135","WPOLLBOGO","Walleye pollock Bogoslof","AFSC-WPOLLBOGO-1977-2014-SISIMP2016","AFSC","Unknown","USA","US Alaska","Bogoslof","Gadidae","Gadus chalcogrammus","Walleye pollock",NA
"136","WPOLLEBS","Walleye pollock Eastern Bering Sea","AFSC-WPOLLEBS-1963-2015-HIVELY","AFSC","IA","USA","US Alaska","Eastern Bering Sea","Gadidae","Gadus chalcogrammus","Walleye pollock",1
"137","WPOLLGA","Walleye pollock Gulf of Alaska","AFSC-WPOLLGA-1970-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Gulf of Alaska","Gadidae","Gadus chalcogrammus","Walleye pollock",1
"138","WROCKPCOAST","Widow rockfish Pacific Coast","NWFSC-WROCKPCOAST-1916-2015-SISIMP2016","NWFSC","SS3","USA","US West Coast","Pacific Coast","Sebastidae","Sebastes entomelas","Widow rockfish",0
"139","WVSCALLALASKA","Weathervane scallop Alaska","AFSC-WVSCALLALASKA-1994-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Alaska","Pectinidae","Patinopecten caurinus","Weathervane scallop",NA
"140","YEYEROCKGA","Yelloweye rockfish Gulf of Alaska","AFSC-YEYEROCKGA-1990-2014-SISIMP2016","AFSC","Unknown","USA","US Alaska","Gulf of Alaska","Sebastidae","Sebastes ruberrimus","Yelloweye rockfish",NA
"141","YEYEROCKPCOAST","Yelloweye rockfish Pacific Coast","NWFSC-YEYEROCKPCOAST-1916-2015-SISIMP2016","NWFSC","SS3","USA","US West Coast","Pacific Coast","Sebastidae","Sebastes ruberrimus","Yelloweye rockfish",0
"142","YEYEROCKPCOASTIN","Yelloweye rockfish Pacific Coast of Canada (Inside)","DFO-YEYEROCKPCOASTIN-1918-2009-WATSON","DFO","BSPM","Canada","Canada West Coast","Pacific Coast of Canada (Inside)","Sebastidae","Sebastes ruberrimus","Yelloweye rockfish",NA
"143","YSOLEBSAI","Yellowfin sole Bering Sea and Aleutian Islands","AFSC-YSOLEBSAI-1954-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Bering Sea and Aleutian Islands","Pleuronectidae","Limanda aspera","Yellowfin sole",1
"144","YTROCKNPCOAST","Yellowtail rockfish Northern Pacific Coast","NWFSC-YTROCKNPCOAST-1892-2012-SISIMP2016","NWFSC","SS3","USA","US West Coast","Northern Pacific Coast","Sebastidae","Sebastes flavidus","Yellowtail rockfish",4
